document_id,page_number,source_file_name,ocr_status,page_type,people_mentioned,evidence_items_mentioned,locations_mentioned,dates_mentioned,times_mentioned,key_factual_content,related_claims,related_events,transcription_status,notes
DOC-0001,51,inquest1949ocr.pdf,Extractable OCR text,Police testimony,None observed in OCR,None observed in OCR,Somerton Beach; Coroner Court Adelaide,3282,None observed in OCR,"of..   . (Oontinued)- 19 CORONER Cil.LLS ULIVE: CONSTANCE NEI LL of 54 b.;ast Park way, ~ol .. Telephoniste Ltfi2rdens .. SWU RN BY LORONER I was with Mr. v~ e Somert.on. ~traIP3 on the evening of the 30th November at got there abou t 20 pas t 7, and we were walking do-wn the steps when we noticed a person on the beach, bu t did not take much notice. ~v e sat there, and naturally did Dot motice him very much. we saw ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,52,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,53,inquest1949ocr.pdf,Extractable OCR text,Police testimony,None observed in OCR,EV-0003 Brown suitcase and contents,Coroner Court Adelaide,"1948; 30th November
1948; 3282",None observed in OCR,"(Continued)- of..   ·  ·······   . 20. COHONER CitLLS: H. .il. ROLD HOLF'E NOETH of 21 hackett 'terrace, Marrya.tville. benior porter, room, ~lo8k ~del. Railway Statn. BY wRONEH: I have had enquiries made by the police. t i.cket ~. 52703, issued ~ produce luggage on 30th November, 1948, to some person. I have examined this ticket, and find that it bears a stamp on the -back which indicates to me that the ticket was i",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,54,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,55,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,None observed in OCR,EV-0005 Clothing,Adelaide Railway Station,3282,None observed in OCR,"of.   .. (Oontinued)- .21 I have alread:,,- looked at the records, bu t there W8.S no overcoat o:n this particul&.r day lodged at the cloak rOOill e ~f- ~~/~ ~ 214-6.49 3282 J. P., Ooroner.",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,56,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,57,inquest1949ocr.pdf,Extractable OCR text,Exhibit reference,Thomas Erskine Cleland / Professor Cleland; Unknown deceased man; Raymond Lionel Leane,EV-0001 Tamam Shud slip; EV-0003 Brown suitcase and contents; EV-0004 Tie; EV-0005 Clothing; EV-0010 Combs; EV-0011 Chewing gum; EV-0012 Cigarette packet/cigarettes; EV-0013 Matches,Somerton Beach; Coroner Court Adelaide,3282,None observed in OCR,"of.   . (Continued)- 22 .. CORONER CALLS : RAYMuND LIONEL LEANE DET E CTIVE-STATIU ~ED AT ADELAI DEe SWORN BY CORONER: I have been making enquiries concerning the identify of the deceased person, since about the 14th J anuary of this yr. Ta€ clothes produced are the clothes found on the body, coat,shoes, shirt, pullover a p air of jockey underpants , singlet, pair of socks, pair of trousers, one tie. 1:hey are the on",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,58,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,59,inquest1949ocr.pdf,Extractable OCR text,Police testimony,Unknown deceased man; Leonard Douglas Brown; Hugh Pozza; Mr Gray,EV-0003 Brown suitcase and contents; EV-0005 Clothing; EV-0012 Cigarette packet/cigarettes; EV-0014 Half-smoked cigarette,Coroner Court Adelaide,3282,None observed in OCR,"of..   ············   . (Continued)- 23 OD e si nglet; be aring the narne tiK ean Ii It is a possibility that the ~l'here ""eli on 'IKeanfl mi ght have 'been washed or rubbed out. was &.lso 011e singlet, wi th the name torn out, one shirt, na.me ta.g gone, six handkerchiefs, one piece of light t)oard, 8 large and one small envelopE; 2 coathangers, one razor strop, one cigarette lighter, ODe razor, ons sha.ving brush, ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,60,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
